Movie_Name,Star_Distribution
守护者：世纪战元 Защитники,"[1.3, 2.3, 19.2, 44.0, 33.2]"
寻找成龙,"[1.8, 2.6, 20.5, 34.5, 40.5]"
寻龙夺宝 The Dragon Pearl,"[1.3, 2.6, 19.1, 35.0, 42.0]"
心理罪,"[2.6, 8.0, 36.8, 37.4, 15.1]"
快手枪手快枪手,"[5.3, 11.4, 36.5, 30.8, 16.0]"
我说的都是真的,"[2.2, 7.7, 36.5, 35.0, 18.6]"
新木乃伊 The Mummy,"[1.5, 5.8, 36.4, 41.0, 15.2]"
暗杀游戏 Мафия: Игра на выживание,"[1.1, 3.3, 17.0, 38.0, 40.6]"
最后的风之子 The Last Airbender,"[3.7, 9.3, 36.0, 33.0, 18.0]"
末日迷踪 Left Behind,"[3.3, 5.3, 24.2, 34.3, 33.0]"
末日重启 Kill Switch,"[0.7, 3.0, 23.2, 47.9, 25.1]"
横冲直撞好莱坞,"[2.7, 6.0, 28.4, 36.3, 26.6]"
消失的凶手,"[2.8, 8.3, 36.0, 35.3, 17.5]"
深海越狱 Black Water,"[1.8, 3.7, 28.2, 43.8, 22.5]"
澳门风云3 賭城風雲III,"[3.6, 5.7, 21.8, 31.2, 37.7]"
火星异种 テラフォーマーズ,"[3.2, 9.4, 36.5, 35.4, 15.5]"
灭门 滅門,"[2.0, 4.8, 26.3, 38.6, 28.3]"
热血高校3 クローズEXPLODE,"[4.0, 8.6, 34.6, 36.9, 15.9]"
熊猫大侠,"[1.3, 5.3, 31.6, 36.4, 25.3]"
特殊身份,"[2.9, 4.6, 22.7, 33.4, 36.3]"
狂蟒之灾3 Anaconda III,"[3.7, 7.9, 36.2, 35.3, 16.9]"
狂蟒之灾4 Anaconda 4: Trail of Blood,"[3.1, 5.7, 29.1, 37.6, 24.5]"
猛虫过江,"[2.0, 3.0, 18.3, 33.0, 43.6]"
玉战士 Jadesoturi,"[2.0, 4.3, 27.2, 39.1, 27.4]"
白幽灵传奇之绝命逃亡 Outcast,"[6.0, 4.1, 18.4, 36.1, 35.4]"
真实 리얼,"[7.3, 8.9, 26.3, 35.2, 22.3]"
神奇四侠2015 Fantastic Four,"[3.0, 6.1, 27.7, 37.1, 26.2]"
神探蒲松龄,"[1.2, 2.5, 18.8, 42.0, 35.5]"
笑功震武林,"[2.7, 6.8, 32.4, 34.8, 23.2]"
第五波 The 5th Wave,"[2.8, 6.5, 33.0, 39.9, 17.7]"
精舞门,"[1.8, 6.9, 36.3, 35.6, 19.4]"
绑架者,"[1.8, 8.5, 38.2, 36.5, 15.1]"
胖子行动队,"[2.7, 5.2, 25.5, 32.7, 34.0]"
