Movie_Name,Star_Distribution
三更车库,"[2.0, 2.2, 10.6, 28.8, 56.5]"
东京异种 TOKYOスピーシーズ,"[1.5, 1.1, 5.9, 19.5, 72.0]"
午夜出租车,"[2.7, 2.5, 16.0, 31.2, 47.6]"
午夜心跳,"[0.9, 1.4, 12.5, 31.8, 53.3]"
半夜叫你别回头,"[1.6, 1.5, 4.9, 13.2, 78.8]"
地下室惊魂,"[1.6, 2.1, 12.1, 28.9, 55.3]"
怨灵人偶,"[3.5, 1.4, 5.9, 18.0, 71.2]"
惊魂游戏,"[2.7, 3.3, 19.4, 26.5, 48.0]"
我唾弃你的坟墓：似曾相识 I Spit on Your Grave: Deja Vu,"[3.4, 4.6, 13.6, 25.2, 53.3]"
新僵尸先生2 新僵屍先生2,"[1.5, 1.5, 11.8, 31.3, 53.8]"
笔仙撞碟仙,"[1.7, 0.2, 1.7, 6.7, 89.6]"
笔仙魔咒,"[2.8, 1.3, 5.8, 15.2, 74.9]"
筷仙,"[2.8, 1.5, 2.0, 6.1, 87.7]"
致命请柬,"[0.3, 0.5, 4.2, 14.1, 80.8]"
蝙蝠别墅,"[3.5, 0.0, 3.1, 8.4, 85.0]"
诡八楼,"[1.8, 1.0, 4.5, 15.0, 77.7]"
七月半之恐怖宿舍,"[3.6, 2.2, 10.4, 24.3, 59.5]"
午夜火车,"[2.1, 1.3, 12.1, 28.0, 56.4]"
地域无门,"[1.7, 0.8, 5.6, 14.3, 77.6]"
夜半梳头,"[2.3, 2.0, 11.7, 29.3, 54.7]"
夜闯寡妇村,"[1.2, 0.4, 2.8, 6.3, 89.4]"
大侦探霍桑,"[1.4, 1.2, 12.4, 34.3, 50.7]"
床下有人2,"[3.2, 0.9, 4.7, 12.0, 79.2]"
恐怖电影院,"[2.0, 0.7, 4.3, 10.3, 82.7]"
蜜月酒店杀人事件,"[1.9, 2.8, 14.3, 28.6, 52.4]"
谎言大爆炸,"[15.4, 10.7, 7.1, 15.4, 51.3]"
B区32号,"[2.4, 0.4, 1.2, 4.3, 91.8]"
人间蒸发,"[0.9, 0.4, 7.4, 22.3, 69.1]"
午夜凶梦,"[1.9, 2.0, 15.4, 29.1, 51.6]"
午夜微博,"[2.7, 1.9, 14.2, 28.3, 52.8]"
半夜不要照镜子,"[2.2, 3.2, 14.9, 25.7, 54.0]"
嘿店,"[2.0, 2.0, 12.9, 25.8, 57.3]"
夜店诡谈,"[2.6, 2.4, 9.9, 26.6, 58.4]"
孤岛惊魂,"[2.0, 1.7, 11.4, 28.0, 56.9]"
孤岛惊魂2,"[2.0, 1.1, 6.6, 17.0, 73.4]"
封门村,"[2.1, 1.1, 5.7, 16.4, 74.6]"
床下有人,"[2.2, 1.1, 6.4, 16.4, 73.9]"
异度公寓,"[1.3, 0.7, 6.0, 16.6, 75.5]"
张震讲故事之鬼迷心窍,"[2.8, 1.7, 9.5, 25.8, 60.1]"
怨灵,"[5.4, 6.4, 15.3, 23.0, 50.0]"
校花诡异事件,"[2.4, 2.4, 11.2, 22.2, 61.7]"
楼,"[2.2, 0.6, 5.7, 17.5, 74.0]"
模特魅影,"[1.8, 0.9, 7.0, 17.3, 72.9]"
电梯惊魂,"[2.1, 1.9, 15.0, 30.3, 50.8]"
秘术,"[1.5, 0.5, 3.2, 11.6, 83.2]"
笔仙惊魂,"[1.1, 1.8, 15.3, 28.5, 53.3]"
笔仙惊魂3,"[2.2, 1.6, 11.7, 24.9, 59.7]"
诡婴吉咪 詭嬰,"[3.2, 1.9, 16.0, 31.5, 47.4]"
诡镇,"[4.4, 3.0, 12.7, 23.3, 56.7]"
食人虫,"[1.4, 1.0, 9.6, 23.7, 64.3]"
中国推销员,"[4.8, 4.8, 17.3, 25.8, 47.5]"
犬王,"[2.2, 3.3, 7.6, 5.1, 81.9]"
半熟少女,"[3.9, 2.7, 8.7, 22.6, 62.2]"
人鱼江湖,"[0.0, 7.8, 8.7, 28.2, 55.3]"
八卦宗师,"[1.5, 1.2, 8.2, 21.3, 67.8]"
喜乐长安,"[2.0, 2.3, 8.3, 20.2, 67.2]"
大寒桃花开,"[9.6, 2.8, 5.7, 12.1, 69.9]"
情剑,"[2.1, 1.6, 5.1, 13.0, 78.2]"
桃花劫,"[3.0, 2.8, 11.9, 15.7, 66.5]"
HOLD住爱,"[2.9, 2.2, 12.9, 27.8, 54.1]"
一纸婚约,"[2.0, 1.4, 7.9, 13.4, 75.3]"
上海堡垒,"[1.6, 1.7, 7.3, 20.7, 68.6]"
下一任：前任,"[1.0, 0.8, 7.5, 18.5, 72.2]"
何以笙箫默,"[2.8, 3.6, 16.5, 29.1, 48.1]"
分手达人,"[2.7, 2.3, 5.6, 9.2, 80.2]"
双生,"[2.9, 2.5, 12.3, 30.6, 51.7]"
唇唇欲动,"[7.8, 6.7, 15.3, 22.4, 47.8]"
土豪520,"[3.0, 3.5, 15.5, 28.0, 50.0]"
大话西游3,"[3.9, 4.8, 14.7, 23.2, 53.5]"
宅男总动员,"[1.1, 3.0, 18.3, 29.3, 48.3]"
我在路上最爱你 길 위에서,"[2.1, 3.3, 15.5, 25.8, 53.3]"
我想结婚的时候你在哪,"[8.6, 12.0, 7.1, 7.5, 64.8]"
我的播音系女友,"[3.4, 2.9, 15.6, 29.8, 48.3]"
我的新野蛮女友 엽기적인 그녀 2,"[7.1, 3.8, 10.4, 23.0, 55.7]"
我的男男男男朋友,"[2.5, 2.6, 18.0, 28.8, 48.1]"
放手爱,"[1.7, 0.4, 2.1, 3.0, 92.7]"
无极限之危情速递,"[5.6, 2.4, 8.8, 12.4, 70.8]"
欧洲攻略,"[1.9, 2.7, 15.0, 31.7, 48.7]"
河东狮吼2,"[1.6, 2.1, 13.5, 28.6, 54.2]"
泡芙小姐,"[2.4, 3.5, 14.8, 26.5, 52.9]"
浪漫天降,"[3.5, 3.3, 13.7, 26.0, 53.3]"
爱情公寓,"[3.4, 2.7, 9.7, 13.7, 70.5]"
爱爱囧事,"[2.3, 2.4, 15.7, 26.0, 53.6]"
男神时代,"[5.5, 5.3, 9.1, 16.1, 64.0]"
疯岳撬佳人,"[1.4, 2.3, 11.8, 27.8, 56.8]"
